message,label
go to help,help
start a timer,timer
give me reference links,resources
lost password recovery,password_reset
change profile picture please,profile
i need to sign up,signup
resources for learning,resources
what should i learn next?,recommendations
show resources please,resources
logout section,logout
begin timer,timer
submit a complaint,feedback
report bug please,feedback
view recommendations,recommendations
open next topic,next_topic
exit session,logout
where can i get help?,help
next quiz,quiz
start a chat,chat
manage platform,admin
open analytics,analytics
look for study partners,study_group
use timer,timer
recommendations for study,recommendations
start a group chat,chat
suggest a study partner,recommendations
study session countdown,timer
go to admin,admin
instructions,help
update profile,profile
study links,resources
show quizzes,quiz
sign out here,logout
take me home,dashboard
moderator panel,admin
open help,help
show nlp insights,nlp_insights
go to sign up,signup
report an issue,feedback
admin assessments,admin
get recommendations,recommendations
messaging section,chat
partner suggestions,recommendations
manage assessments,admin
next subject please,next_topic
password reset form,password_reset
help me,help
learning recommendations,recommendations
where is the quiz?,quiz
set timer,timer
how do i recover my password?,password_reset
create educonnect account,signup
view feedback,feedback
study groups,study_group
nlp link,nlp_insights
chat with group,chat
logout link,logout
get study recommendations,recommendations
go to my profile,profile
open sign in,login
my content topics,nlp_insights
help feature,help
send my feedback,feedback
study stats,analytics
show performance,analytics
go to login,login
create study group,study_group
start chat,chat
sign out of account,logout
update bio,profile
help forgot password,password_reset
view my stats,analytics
topic results,nlp_insights
password reset screen,password_reset
insights from chat,nlp_insights
where is sign up?,signup
study partner recommendations,recommendations
partner recommendations,recommendations
view study progress,analytics
submit comment,feedback
see nlp insights,nlp_insights
access learning resources,resources
go to recommendations,recommendations
help documentation,help
nlp insights please,nlp_insights
i need study materials,resources
quiz options,quiz
report bug,feedback
password recovery,password_reset
nlp discovery,nlp_insights
reset password,password_reset
credentials login,login
study suggestions,recommendations
need to reset my password,password_reset
analytics for my study,analytics
sign up page,signup
my analytics,analytics
next chapter,next_topic
i can't log in,login
quiz test,quiz
session countdown,timer
statistics page,analytics
go to main,dashboard
change my profile info,profile
nlp analysis,nlp_insights
logout access,logout
quiz practice,quiz
help me log in,login
view main page,dashboard
logout of my account,logout
admin analytics,admin
admin reports,admin
update password,password_reset
profile settings page,profile
where is the login page?,login
get partner recommendations,recommendations
can i sign in here?,login
available study groups,study_group
how to register,signup
report problem,feedback
quiz for today,quiz
nlp results,nlp_insights
how do i update my profile?,profile
sign out section,logout
next lesson please,next_topic
feedback link,feedback
pomodoro timer,timer
look for study group,study_group
administrator tools,admin
analytics page,analytics
quiz assessments,quiz
take me to dashboard,dashboard
see resources,resources
access help,help
study group list please,study_group
timer for study session,timer
open home,dashboard
open chat,chat
find learning resources,resources
where are the study groups?,study_group
forgot how to login,login
view progress chart,analytics
study group options,study_group
sign up to educonnect,signup
next topic page,next_topic
profile information,profile
message someone please,chat
contact support team,feedback
recommendations please,recommendations
progress dashboard,analytics
where can i find learning resources?,resources
i need to sign out,logout
join a study group,study_group
get learning resources,resources
my quizzes,quiz
study analytics page,analytics
logout button,logout
view my analytics,analytics
where is chat?,chat
profile details,profile
chat option,chat
stop study timer,timer
get partner suggestions,recommendations
take me to login,login
access my profile,profile
start the timer,timer
open personal chat,chat
sign in to my account,login
help menu,help
recommend a partner,recommendations
quiz hub,quiz
nlp summary,nlp_insights
chat hub,chat
recommendations for me,recommendations
dashboard home,dashboard
recommend learning,recommendations
create account,signup
suggest study topics,recommendations
chat room,chat
logout screen,logout
chat screen,chat
login option,login
i need to logout,logout
go to admin dashboard,admin
suggest resources,recommendations
new password,password_reset
where is admin?,admin
view all users,admin
want to logout,logout
back to dashboard,dashboard
reset account password,password_reset
admin settings,admin
resources section,resources
open main page,dashboard
upcoming topic,next_topic
i need assistance,help
view resources,resources
recover account password,password_reset
need password reset,password_reset
help and support,help
administrator dashboard,admin
leave account,logout
what are my topics?,nlp_insights
match me to partners,recommendations
run topic model,nlp_insights
quiz page,quiz
study materials,resources
find recommended partners,recommendations
edit profile please,profile
take my quiz,quiz
take assessment,quiz
main screen,dashboard
study hours,analytics
learning progress,analytics
take me to sign up,signup
help desk,help
what is the next topic?,next_topic
run topic modelling,nlp_insights
go to next lesson,next_topic
report a bug please,feedback
how to join study group,study_group
i need to take a quiz,quiz
want to sign up,signup
help link,help
help tab,help
sign up for educonnect,signup
platform admin,admin
extract topics,nlp_insights
topic screen,nlp_insights
analytics dashboard,analytics
password reset option,password_reset
i want to give feedback,feedback
view admin reports,admin
next lesson link,next_topic
my progress,analytics
home,dashboard
show quiz results,quiz
open help center,help
study group list,study_group
log out here,logout
sign in now,login
learning resources,resources
dashboard link,dashboard
help with password,password_reset
my login is not working,login
message to partner,chat
start timer,timer
account registration,signup
password help,password_reset
report a problem,feedback
run bertopic,nlp_insights
i can't remember my password,password_reset
can you help me log in?,login
how to edit profile,profile
view learning resources,resources
course resources,resources
message a study partner,chat
quiz section,quiz
get password reset,password_reset
sign in screen,login
submit feedback,feedback
join as new user,signup
what do you recommend?,recommendations
leave a feedback,feedback
help,help
message study partner,chat
show study resources,resources
go to next topic,next_topic
view study groups,study_group
sign out account,logout
profile page,profile
browse resources,resources
next in series,next_topic
text topics,nlp_insights
how do i start a timer?,timer
study analytics,analytics
password assistance needed,password_reset
help with profile,help
view my profile,profile
stats page,analytics
quiz results,quiz
find study partners,study_group
how do i edit my details?,profile
home screen,dashboard
chat page,chat
analyze feedback,nlp_insights
recommend study topics,recommendations
topic model,nlp_insights
next lesson,next_topic
show help,help
message a peer,chat
show next topic,next_topic
main page view,dashboard
chat with peers,chat
where can i chat?,chat
open learning resources,resources
study groups page,study_group
i want to sign out,logout
pause timer,timer
show next chapter,next_topic
feedback page please,feedback
available quizzes,quiz
change profile picture,profile
user guide,help
new user registration,signup
show my progress,analytics
where are learning resources?,resources
study stats page,analytics
admin area,admin
feedback form,feedback
need assistance,help
feedback section,feedback
nlp section,nlp_insights
edit personal info,profile
next unit,next_topic
get study materials,resources
suggest learning path,recommendations
log out button,logout
find study partners,recommendations
nlp insights,nlp_insights
go to quizzes,quiz
manage users,admin
quiz list,quiz
admin dashboard please,admin
view performance,analytics
i want to chat with someone,chat
log in to the app,login
group chat,chat
join educonnect platform,signup
take quiz now,quiz
study performance,analytics
profile page please,profile
submit feedback,feedback
where are the quizzes?,quiz
recommend articles,resources
open topic modelling,nlp_insights
where is my profile?,profile
recommendations section,recommendations
send a message,chat
my account profile,profile
want to sign out,logout
educonnect admin,admin
home page,dashboard
back to admin,admin
set a study timer,timer
go to quiz,quiz
sign up link,signup
dashboard section,dashboard
show statistics,analytics
how do i get started?,help
need to log in to educonnect,login
give feedback,feedback
open admin panel,admin
help resources,help
my study stats,analytics
disconnect,logout
go to dashboard,dashboard
start a quiz,quiz
go to resources,resources
go to feedback,feedback
report issue,feedback
suggest next topic,recommendations
need login help,login
show progress,analytics
help with login,help
help page,help
looking for help,help
how can i sign up?,signup
learning resources page,resources
how can i access my account?,login
where is logout?,logout
reset password link,password_reset
my study progress,analytics
see recommendations,recommendations
open dashboard,dashboard
admin screen,admin
see my profile,profile
main dashboard view,dashboard
topics from chat,nlp_insights
recommendations for learning,recommendations
show available study groups,study_group
study group finder,study_group
support ticket,feedback
where can i log in?,login
recommendations list,recommendations
change my password,password_reset
help me understand,help
need help,help
next chapter please,next_topic
show me analytics,analytics
view study materials,resources
change my profile picture,profile
run topic extraction,nlp_insights
my performance report,analytics
edit profile info,profile
logout menu,logout
next topic list,next_topic
open home page,dashboard
next in course,next_topic
view dashboard,dashboard
can i change my password?,password_reset
exit the app,logout
logout please,logout
recommend courses,recommendations
nlp analytics,nlp_insights
sign out menu,logout
show resources,resources
get me to login,login
get new password,password_reset
performance stats,analytics
help me with my profile,profile
chat link,chat
access educonnect account,login
update my profile info,profile
next content,next_topic
admin options,admin
study time timer,timer
study progress,analytics
my performance,analytics
access admin,admin
do a quiz,quiz
reset password now,password_reset
resources for my course,resources
admin statistics,admin
i need to login,login
how to take a quiz,quiz
upcoming topics,next_topic
view topics,nlp_insights
create an account,signup
how does educonnect work?,help
admin home,admin
topic analytics,nlp_insights
go to chat room,chat
i want to join a study group,study_group
list of resources,resources
find study group,study_group
view quiz results,quiz
start quiz,quiz
go to nlp insights,nlp_insights
tutorial,help
how do i reset my password?,password_reset
how to reset password,password_reset
topic modelling,nlp_insights
password reset help,password_reset
help me recover my password,password_reset
do quiz,quiz
logout account,logout
log me in,login
help with the app,help
where are the textbooks?,resources
view chat,chat
open admin dashboard,admin
timer feature,timer
i want to do a quiz,quiz
recommendations page,recommendations
logout option,logout
timer screen,timer
resources hub,resources
go to home,dashboard
start session timer,timer
feedback screen,feedback
upcoming lessons,next_topic
open group chat,chat
get me registered,signup
sign up option,signup
talk to someone,chat
how to logout,logout
i want to sign in,login
i want to sign up,signup
faq,help
how many hours did i study?,analytics
show me learning resources,resources
password reset request,password_reset
need some help,help
next learning topic,next_topic
study group section,study_group
timer off,timer
show me study groups,study_group
view quizzes,quiz
view nlp insights,nlp_insights
chat with partner,chat
chat feature,chat
how to help,help
topic feature,nlp_insights
new account,signup
help with login,login
set study timer,timer
stop the timer,timer
usage help,help
get chat,chat
change password,password_reset
suggest next course,recommendations
find a study partner,study_group
main dashboard page,dashboard
timer for 1 hour,timer
admin quiz assessments,admin
edit account profile,profile
register account,signup
send feedback please,feedback
timer on,timer
i need help,help
admin link,admin
send support message,feedback
feedback page,feedback
help screen,help
show dashboard,dashboard
where do i sign up?,signup
show learning resources,resources
next in sequence,next_topic
message peer,chat
study timer,timer
see all users,admin
find partners,study_group
quiz link,quiz
view next topic,next_topic
profile settings,profile
feedback form please,feedback
personal messaging,chat
how to use educonnect,help
find a quiz,quiz
analytics report,analytics
admin portal,admin
show partner recommendations,recommendations
sign in please,login
end session,logout
change my info,profile
see main page,dashboard
logout,logout
i need a study partner,study_group
leave feedback,feedback
main page please,dashboard
see dashboard,dashboard
profile edit,profile
go to study groups,study_group
go to topic modelling,nlp_insights
sign in to educonnect,login
send message,chat
next topic in course,next_topic
how do i sign up?,signup
nlp report,nlp_insights
start messaging,chat
view my progress,analytics
join the platform,signup
i want to take a quiz,quiz
close session,logout
topics from my chats,nlp_insights
update my profile,profile
open nlp insights,nlp_insights
recover password,password_reset
run nlp,nlp_insights
see topics,nlp_insights
dashboard page,dashboard
account sign out,logout
quiz questions please,quiz
password reset please,password_reset
study content,resources
recommend study path,recommendations
create account please,signup
new user sign up,signup
forward to next,next_topic
next step in learning,next_topic
what do i study next?,next_topic
i want to join,signup
send feedback to admin,feedback
how are my stats?,analytics
show admin panel,admin
resources for studying,resources
see my stats,analytics
next in curriculum,next_topic
topic analysis,nlp_insights
create a new account,signup
update profile details,profile
recommend something,recommendations
access admin panel,admin
study group discovery,study_group
send feedback,feedback
countdown for session,timer
access chat,chat
can't log in forgot password,password_reset
administrator dashboard,admin
show study groups,study_group
see help,help
next section please,next_topic
available quiz,quiz
open study groups,study_group
contact feedback,feedback
main page link,dashboard
study materials please,resources
i want to logout,logout
registration page,signup
sign out please,logout
register for educonnect,signup
what's next?,next_topic
dashboard screen,dashboard
register now,signup
enter my credentials,login
nlp feature,nlp_insights
get to dashboard,dashboard
see study groups,study_group
send chat message,chat
timer page,timer
how to sign in,login
learning content,resources
sign out,logout
study group page,study_group
give me the next quiz,quiz
update my password,password_reset
show study stats,analytics
report to admin,feedback
view stats,analytics
go to admin page,admin
view topic modelling,nlp_insights
next topic option,next_topic
log me out,logout
get learning materials,resources
dashboard access,dashboard
join study group,study_group
dashboard view,dashboard
what topics are in my data?,nlp_insights
topic extraction,nlp_insights
get me out,logout
view analytics,analytics
timer link,timer
personal chat,chat
help with signup,help
update personal info,profile
chat with admin,chat
contact support,feedback
next topic section,next_topic
i forgot my login password,password_reset
forgot password link,password_reset
show chat,chat
create my account,signup
give feedback to admin,feedback
admin only,admin
registration form,signup
topic modeling,nlp_insights
support center,help
recommend study groups,study_group
i want to create an account,signup
i want to find study partners,study_group
resources page,resources
match me with partners,recommendations
what can you do?,help
login page please,login
report something,feedback
show learning materials,resources
timer section,timer
how do i log in?,login
chat with study partner,chat
chat with someone,chat
view profile,profile
admin interface,admin
show me recommendations,recommendations
getting started,help
nlp topic,nlp_insights
log out of educonnect,logout
admin section please,admin
nlp extraction,nlp_insights
quiz here,quiz
show upcoming lessons,next_topic
forgot password,password_reset
report feedback,feedback
update profile picture,profile
open administrator panel,admin
submit bug report,feedback
find help,help
admin dashboard,admin
admin page,admin
i need to sign in,login
logout my account,logout
open my profile,profile
progress chart,analytics
sign out screen,logout
topic extraction results,nlp_insights
topic modelling results,nlp_insights
next section,next_topic
admin panel please,admin
sign out from account,logout
list all users,admin
topics from my feedback,nlp_insights
go home,dashboard
forgot my password help,password_reset
admin panel,admin
what is this?,help
open login page,login
chat with friend,chat
take a quiz,quiz
message someone,chat
i have a complaint,feedback
text analysis,nlp_insights
what to learn next,recommendations
partner matching,recommendations
join educonnect,signup
countdown timer,timer
topics from feedback,nlp_insights
dashboard please,dashboard
help section,help
analyze my text,nlp_insights
what do we cover next?,next_topic
edit my profile,profile
i need to reset password,password_reset
login here,login
admin menu,admin
register for an account,signup
feedback to admin,feedback
feedback to support,feedback
forgot password option,password_reset
log out please,logout
sign out access,logout
open recommendations,recommendations
study session timer,timer
view progress,analytics
start study timer,timer
view assessments,admin
quiz assessment,quiz
start personal chat,chat
insights from feedback,nlp_insights
admin feedback,admin
where can i find quizzes?,quiz
topic summary,nlp_insights
show me quizzes,quiz
password change,password_reset
see progress,analytics
next topic please,next_topic
recommend resources,recommendations
feedback submission,feedback
next module,next_topic
where can i find study groups?,study_group
find resources,resources
home dashboard,dashboard
how do i chat?,chat
study partner matching,study_group
open sign up,signup
quiz for my topic,quiz
recommendations hub,recommendations
learning materials,resources
support,help
topic link,nlp_insights
support help,help
join study groups,study_group
how can i register?,signup
show admin,admin
view admin dashboard,admin
customer support,help
reference materials,resources
back to dashboard,dashboard
study group recommendations,study_group
chat with study group,chat
go to main page,dashboard
show next lesson,next_topic
open quizzes,quiz
suggest study partners,recommendations
get my stats,analytics
edit my details,profile
discover topics,nlp_insights
take me to admin,admin
go to chat,chat
edit account details,profile
how to sign out,logout
set a study session timer,timer
how do i create an account?,signup
see next topic,next_topic
main dashboard,dashboard
show topic modelling,nlp_insights
take the quiz,quiz
continue to next topic,next_topic
join a group,study_group
i need recommendations,recommendations
find partners for me,recommendations
my profile,profile
show recommendations,recommendations
general help,help
what comes next?,next_topic
my learning stats,analytics
nlp insights page,nlp_insights
show topics,nlp_insights
i forgot my password,password_reset
sign out option,logout
nlp insights section,nlp_insights
logout page,logout
sign up form,signup
quiz access,quiz
admin tools,admin
study partners,study_group
next learning path,next_topic
want to log in,login
sign up now,signup
home page please,dashboard
edit my profile info,profile
timer for 30 minutes,timer
suggest partners,recommendations
logout now,logout
sign out my account,logout
timer for 25 minutes,timer
forward me to next chapter,next_topic
how to instructions,help
practice quiz,quiz
see chat,chat
help me sign up,signup
match recommendations,recommendations
reset my login password,password_reset
chat with peer,chat
performance analytics,analytics
admin login,admin
login screen,login
help options,help
find quizzes,quiz
timer for my session,timer
recommend resources,resources
log out,logout
any tips for studying?,recommendations
get started sign up,signup
recommend next steps,recommendations
open registration,signup
topic report,nlp_insights
resources section please,resources
admin page please,admin
create a study group,study_group
change my profile,profile
nlp dashboard,nlp_insights
resources link,resources
nlp screen,nlp_insights
back to main,dashboard
update my details,profile
i need support,help
admin hub,admin
access my account,login
sign out link,logout
explain this,help
quiz list please,quiz
open timer,timer
analytics section,analytics
match me with study partners,study_group
show analytics,analytics
analyze chat,nlp_insights
go to home page,dashboard
what is next?,next_topic
dashboard go,dashboard
find me a study partner,study_group
open chat room,chat
take me to sign in,login
end timer,timer
give my feedback,feedback
create new study group,study_group
join group,study_group
sign up screen,signup
account login,login
log in to dashboard,login
progress report,analytics
session timer,timer
i need to register,signup
talk to partner,chat
logout here,logout
admin access,admin
main page,dashboard
reset my password,password_reset
user management,admin
password assistance,password_reset
get study partners,study_group
view study partners,study_group
see quiz results,quiz
administrator panel,admin
i need to access my account,login
lost my password,password_reset
next subject,next_topic
